length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo
234560,0.616,0.0283,0.869,0.0,0.064,0.473,-3.911,0.0327,127.966
200186,0.658,0.0629,0.837,0.0,0.0969,0.936,-2.063,0.0543,126.015
199440,0.857,0.381,0.8,0.0,0.0913,0.966,-4.035,0.0583,121.996
199266,0.532,0.0559,0.795,0.0,0.295,0.78,-3.979,0.0358,143.837
193213,0.426,0.0383,0.584,0.0,0.188,0.272,-5.293,0.296,193.437
236001,0.667,0.0123,0.83,0.0,0.191,0.701,-5.715,0.0749,113.03
197935,0.722,0.0319,0.851,0.0,0.108,0.452,-3.873,0.0639,126.885
220733,0.637,0.0151,0.843,0.0,0.0876,0.434,-5.413,0.0432,109.012
237200,0.851,0.118,0.806,1.64e-06,0.121,0.787,-4.62,0.0787,118.999
179640,0.699,0.00223,0.76,0.0,0.132,0.696,-3.173,0.0677,129.996
174933,0.746,0.0485,0.846,0.0,0.195,0.403,-2.432,0.048,114.955
187293,0.258,0.065,0.919,0.0,0.279,0.636,-6.927,0.0809,93.62
220440,0.553,0.0709,0.664,0.0056,0.106,0.467,-7.417,0.0741,140.06
267080,0.835,0.0336,0.669,6.92e-05,0.0535,0.542,-5.582,0.0643,122.668
189000,0.658,0.0144,0.863,0.000193,0.2,0.496,-4.64,0.0255,129.972
202533,0.421,0.0654,0.873,0.0,0.123,0.629,-4.343,0.0564,84.786
260253,0.587,0.00327,0.828,0.0,0.331,0.494,-5.108,0.161,123.907
205360,0.776,0.0234,0.693,0.00177,0.0322,0.635,-2.528,0.0314,102.996
202496,0.494,0.000569,0.951,0.0,0.327,0.441,-4.237,0.132,160.025
212400,0.584,6.52e-05,0.699,6.05e-05,0.486,0.585,-6.065,0.0378,82.499
220800,0.663,0.0338,0.861,0.0,0.082,0.654,-3.398,0.109,119.963
214789,0.811,0.0726,0.699,1.38e-06,0.148,0.733,-5.211,0.114,122.987
224653,0.747,0.0208,0.937,0.0,0.29,0.739,-5.746,0.0453,103.976
184133,0.738,0.101,0.794,0.0,0.0533,0.566,-4.118,0.0416,104.014
227833,0.799,0.162,0.586,2.03e-06,0.193,0.549,-6.735,0.0377,120.97
180021,0.827,0.184,0.576,0.029,0.0656,0.41,-7.774,0.0372,118.04
182306,0.706,0.173,0.751,0.0,0.168,0.195,-6.323,0.0708,91.031
215226,0.734,0.025,0.766,0.00138,0.108,0.6,-4.485,0.0383,127.986
196160,0.794,0.237,0.832,1.14e-05,0.203,0.871,-4.862,0.0407,107.657
224720,0.706,0.0476,0.842,0.0,0.134,0.818,-4.628,0.038,104.958
196613,0.73,0.39,0.861,0.0,0.213,0.704,-4.1,0.0451,117.965
182666,0.775,0.0506,0.825,1.03e-06,0.111,0.95,-5.402,0.0464,139.091
186440,0.645,0.00809,0.921,1.08e-05,0.407,0.864,-5.256,0.0302,129.0
163636,0.734,0.151,0.765,0.0,0.231,0.518,-5.562,0.0621,109.989
212106,0.657,0.0108,0.695,0.0,0.0822,0.683,-4.493,0.0321,65.997
234653,0.791,0.00446,0.754,0.0,0.163,0.425,-3.729,0.0569,125.014
230906,0.758,0.0848,0.686,0.00127,0.142,0.444,-6.346,0.0792,130.007
183587,0.755,0.0635,0.751,0.0,0.0812,0.491,-4.034,0.0748,102.002
190213,0.738,0.332,0.804,0.0,0.279,0.949,-3.851,0.0621,174.943
232693,0.632,0.0624,0.856,0.0,0.347,0.867,-3.463,0.0348,119.397
247626,0.607,0.0306,0.649,2.46e-05,0.174,0.505,-6.695,0.0362,102.996
199386,0.706,0.26,0.786,0.0,0.38,0.751,-3.417,0.091,150.028
192280,0.631,0.0841,0.924,3.59e-06,0.084,0.755,-5.589,0.146,100.045
214520,0.531,0.000105,0.864,2.05e-06,0.346,0.402,-2.978,0.0433,126.02
185640,0.787,0.0915,0.848,0.0,0.15,0.947,-4.696,0.0549,121.989
269666,0.856,0.00801,0.609,8.15e-05,0.0344,0.928,-7.223,0.0824,114.988
199263,0.752,0.0324,0.775,0.0,0.351,0.595,-7.289,0.0546,122.014
234786,0.421,0.0132,0.822,0.0,0.092,0.751,-4.415,0.0542,171.935
219146,0.774,0.152,0.753,0.0,0.0371,0.896,-5.446,0.0517,119.002
232720,0.647,0.219,0.822,0.0,0.0908,0.962,-4.662,0.183,160.019
254640,0.637,0.063,0.929,0.00796,0.318,0.604,-6.03,0.0447,136.482
232946,0.608,0.0991,0.86,0.0,0.262,0.437,-5.324,0.0554,127.075
235545,0.851,0.568,0.541,0.0,0.13,0.448,-6.825,0.0505,124.959
238626,0.707,0.0863,0.813,0.0,0.168,0.722,-4.515,0.0571,124.921
233478,0.726,0.049,0.698,0.0,0.309,0.867,-4.165,0.0431,143.994
212973,0.541,0.0178,0.899,2.95e-06,0.286,0.829,-6.261,0.0633,106.676
225360,0.731,0.0352,0.853,0.0,0.268,0.605,-4.219,0.0363,108.016
229360,0.721,0.0921,0.802,0.0,0.694,0.724,-5.797,0.0583,124.022
229813,0.68,0.175,0.942,0.0013,0.117,0.647,-4.208,0.0631,123.976
222160,0.631,0.199,0.927,0.119,0.148,0.465,-2.787,0.0332,123.962
211426,0.704,0.0137,0.761,0.0,0.0487,0.907,-4.659,0.0347,97.002
205474,0.673,0.0248,0.842,0.0,0.294,0.509,-4.666,0.039,121.986
267866,0.545,0.00617,0.675,0.00197,0.209,0.162,-6.474,0.0279,124.97
207506,0.607,0.0541,0.82,6.8e-05,0.269,0.768,-7.754,0.0597,126.988
243533,0.767,0.0113,0.682,0.00016,0.104,0.833,-5.02,0.042,127.975
264893,0.76,0.0144,0.801,1.49e-05,0.665,0.653,-3.769,0.0534,109.919
211160,0.633,0.297,0.673,0.0,0.206,0.659,-6.403,0.258,86.776
248133,0.706,0.0588,0.89,0.00286,0.306,0.684,-4.444,0.0688,128.011
236440,0.728,0.0144,0.892,0.0,0.469,0.826,-5.172,0.126,117.976
182120,0.495,0.00027,0.878,9.02e-05,0.07,0.825,-3.266,0.0361,193.947
157152,0.711,0.00952,0.906,1.64e-05,0.153,0.824,-2.671,0.0284,125.916
234826,0.655,0.1,0.791,0.000124,0.334,0.862,-8.923,0.0302,118.981
235493,0.696,0.587,0.679,0.0,0.165,0.527,-7.363,0.0305,128.982
222706,0.74,0.0357,0.622,4.85e-05,0.356,0.556,-4.608,0.0446,104.966
212424,0.672,0.469,0.578,0.0,0.312,0.548,-6.621,0.0569,113.945
219240,0.666,0.123,0.968,0.0,0.347,0.834,-3.196,0.046,135.099
221973,0.738,0.131,0.864,3.22e-06,0.0683,0.961,-7.95,0.054,103.203
215480,0.801,0.0457,0.645,0.0,0.0357,0.824,-6.93,0.0356,110.01
204640,0.72,0.009,0.672,0.0,0.232,0.705,-6.852,0.0551,124.986
255093,0.545,0.0309,0.78,4.64e-05,0.0828,0.458,-4.867,0.0436,125.014
246960,0.779,0.000155,0.64,0.00077,0.101,0.498,-8.415,0.159,99.019
186146,0.778,0.672,0.566,0.000197,0.0698,0.479,-6.959,0.0311,117.971
214400,0.679,0.333,0.903,0.0,0.372,0.872,-4.914,0.0463,108.114
215042,0.719,0.0879,0.674,3.75e-06,0.112,0.843,-5.122,0.0681,125.98
217539,0.786,0.0114,0.876,0.000784,0.0796,0.966,-4.899,0.0362,103.983
