label,name,artist
0,Move,Luke Bryan
0,"Huntin', Fishin' And Lovin' Every Day",Luke Bryan
0,Up Down (Feat. Florida Georgia Line),Morgan Wallen
0,She's With Me,High Valley
0,Broken Halos,Chris Stapleton
0,Springsteen,Eric Church
0,Runnin' Outta Moonlight,Randy Houser
0,American Kids,Kenny Chesney
0,She Got the Best of Me,Luke Combs
0,When Someone Stops Loving You,Little Big Town
0,In Case You Didn't Know,Brett Young
0,Craving You,Thomas Rhett
0,Silence,Marshmello
0,What Lovers Do (feat. SZA),Maroon 5
0,Think Before I Talk,Astrid S
0,You,Charlie Who?
0,I Miss You (feat. Julia Michaels),Clean Bandit
0,Fireproof,VAX
0,If You're Hearing This,Hook N Sling
0,Sucker for You,Matt Terry
0,Wolves,Selena Gomez
0,Solo Dance - Acoustic Mix,Martin Jensen
0,Summer Air,ItaloBrothers
0,Stay Young,Mike Perry
0,More Than You Know - Acoustic,Axwell /\ Ingrosso
0,All Falls Down (feat. Juliander),Alan Walker
0,I Like Me Better,Lauv
0,Dreamer,Thomas Gold
0,This Town (feat. Sasha Sloan),Kygo
0,Magic,Thomas Gold
0,Stargazing,Kygo
0,Till You're Loved,Mr. Probz
0,Lonely Together (feat. Rita Ora),Avicii
0,Contact,Lulleaux
0,So Much More Than This,Grace VanderWaal
0,No Fear,DeJ Loaf
0,There for You,Martin Garrix
0,Where The Love Goes,Anjulie
0,First Time,Kygo
0,Come Home,Sad Eye
0,Find Yourself,Great Good Fine Ok
0,Ready To Love You,HEDEGAARD
0,Super Far,LANY
0,Sober,Cheat Codes
0,The Other,Lauv
0,Vibe (feat. Emily Bonabon),Frank Pierce
0,Keep Me from You (feat. ODA),MORTEN
0,Something More - Andrelli Remix,Luke Potter
0,Not Going Home,DVBBS
0,Thinking About It (Let It Go) - KVR Remix,Nathan Goshen
0,Romantic - NOTD Remix,Stanaj
0,Hum With Me,John De Sohn
0,Oceans Away,A R I Z O N A
0,Lighthouse - Andrelli Remix,Hearts & Colors
0,Your Shirt,Chelsea Cutler
0,Help Me Out (with Julia Michaels),Maroon 5
0,I Know You,Craig David
0,Scared to Be Lonely,Martin Garrix
0,It's Gotta Be You,Isaiah Firebrace
0,We Could Go Back,Jonas Blue
0,I Believe I'm Fine,Robin Schulz
0,Call On Me,Starley
0,Reminding Me,Shawn Hook
0,Always Gonna Say Sorry,Joakim Molitor
0,Bad At Love,Halsey
0,Ride Around (feat. Conor Darvid),MORTEN
0,Lights Down Low,MAX
0,Nervous (The Ooh Song) - Mark McCabe Remix,Gavin James
0,Understand Me,CMC$
0,Kings And Queens Of Summer,Matstubs
0,Please Don't Lie,Hugo Helmig
0,Broken Glass,Rachel Platten
0,How Long,Charlie Puth
0,No Fixed Abode,Mitch James
0,Electric Touch,A R I Z O N A
0,Complicated (feat. Kiiara),Dimitri Vegas & Like Mike
0,For You,James TW
0,Go Back,HEDEGAARD
0,Strongest,Ina Wroldsen
0,Broken Summer,DJ Snake
0,I Wonder,The Him
0,No Promises (feat. Demi Lovato) - Stripped Version,Cheat Codes
0,Obsession (feat. Jon Bellion),Vice
0,Wait,Maroon 5
0,600D,Jasmine Sokko
0,Slow Hands,Niall Horan
0,Turn Back Time,Daniel Schulz
0,ILLUSION,Jubël
0,Ask for It,Future Animals
0,Waterfall,Petit Biscuit
0,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld
0,Let You Down,NF
0,Stay With You,Cheat Codes
0,Too Good At Goodbyes,Sam Smith
0,Too Good At Goodbyes,Sam Smith
0,Free Fall,Christopher
0,It Don't Hurt Like It Used To,Billy Currington
0,I Know Somebody,LOCASH
0,Play It Again,Luke Bryan
0,The Weekend,Brantley Gilbert
0,There’s A Girl,Trent Harmon
0,Snapback,Old Dominion
0,Any Ol' Barstool,Jason Aldean
0,Drunk on Your Love,Brett Eldredge
0,Somethin' I'm Good At,Brett Eldredge
0,The Fighter,Keith Urban
0,Seein' Red,Dustin Lynch
0,Smooth,Florida Georgia Line
0,A Girl Like You,Easton Corbin
0,Millionaire,Chris Stapleton
0,Make A Little,Midland
0,Fix a Drink,Chris Janson
0,Losing Sleep,Chris Young
0,Anything Goes,Florida Georgia Line
0,Written in the Sand,Old Dominion
0,Bottoms Up,Brantley Gilbert
0,Getting Over You,Jackie Lee
0,Happens Like That,Granger Smith
0,They Don't Know,Jason Aldean
0,Man Enough Now,Chris Bandi
0,Ain't Always Pretty,Logan Mize
0,It Ain't My Fault,Brothers Osborne
0,Lights Come On,Jason Aldean
0,Came Here to Forget,Blake Shelton
0,This Is How We Roll,Florida Georgia Line
0,Love You Like That,Canaan Smith
0,Dirt,Florida Georgia Line
0,Barefoot Blue Jean Night,Jake Owen
0,It Goes Like This,Thomas Rhett
0,That's My Kind Of Night,Luke Bryan
0,Round Here,Florida Georgia Line
0,Take Your Time,Sam Hunt
0,I Love This Life,LOCASH
0,Get Your Shine On,Florida Georgia Line
0,Country Girl (Shake It For Me),Luke Bryan
0,Where It's At,Dustin Lynch
0,Make Me Wanna,Thomas Rhett
0,Blue Tacoma,Russell Dickerson
0,Sleep Without You,Brett Young
0,Hooked,Dylan Scott
0,Sunday Morning,Parmalee
0,The Long Way,Brett Eldredge
0,Close,Ryan Kinder
0,Good Company,Jake Owen
